v8-version,6,2,414,50,0
shared-library,"/usr/bin/node",0x563ca3639000,0x563ca476c000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libicudata.so.60.2",0x7f41e28fe000,0x7f41e42a6000,0
shared-library,"/lib/x86_64-linux-gnu/libc-2.29.so",0x7f41e44cc000,0x7f41e463f000,0
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.29.so",0x7f41e4699000,0x7f41e46a8000,0
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f41e46b6000,0x7f41e46c7000,0
shared-library,"/lib/x86_64-linux-gnu/libm-2.29.so",0x7f41e46dc000,0x7f41e4782000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.26",0x7f41e48b2000,0x7f41e49a3000,0
shared-library,"/lib/x86_64-linux-gnu/librt-2.29.so",0x7f41e4a01000,0x7f41e4a05000,0
shared-library,"/lib/x86_64-linux-gnu/libdl-2.29.so",0x7f41e4a0a000,0x7f41e4a0c000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libicuuc.so.60.2",0x7f41e4a0f000,0x7f41e4bb2000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libicui18n.so.60.2",0x7f41e4dc6000,0x7f41e5058000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libssl.so.1.0.0",0x7f41e5267000,0x7f41e52c5000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libcrypto.so.1.0.0",0x7f41e54d1000,0x7f41e56ea000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libnghttp2.so.14.15.2",0x7f41e5914000,0x7f41e5937000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libcares.so.2.2.0",0x7f41e5b39000,0x7f41e5b4a000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libuv.so.1.0.0",0x7f41e5d4b000,0x7f41e5d70000,0
shared-library,"/usr/lib/x86_64-linux-gnu/libhttp_parser.so.2.7.1",0x7f41e5f71000,0x7f41e5f78000,0
shared-library,"/lib/x86_64-linux-gnu/libz.so.1.2.11",0x7f41e617c000,0x7f41e618d000,0
shared-library,"/lib/x86_64-linux-gnu/ld-2.29.so",0x7f41e61b9000,0x7f41e61da000,0
shared-library,"[vdso]",0x7ffe367e9000,0x7ffe367eb000,0
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000,0
profiler,"begin",1000
tick,0x7f41e453fc80,1252,0,0x0,4
code-creation,Stub,3,1722,0x25b7a4104060,286,"CEntryStub"
code-creation,Builtin,5,2139,0x25b7a41190e0,1188,"RecordWrite"
code-creation,Builtin,5,2153,0x25b7a4119600,28,"AdaptorWithExitFrame"
code-creation,Stub,3,2162,0x25b7a4119680,286,"CEntryStub"
code-creation,Builtin,5,2166,0x25b7a4119800,28,"AdaptorWithBuiltinExitFrame"
code-creation,Builtin,5,2174,0x25b7a4119880,236,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,2183,0x25b7a41199e0,191,"CallFunction_ReceiverIsNullOrUndefined"
code-creation,Builtin,5,2188,0x25b7a4119b00,258,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,2193,0x25b7a4119c80,283,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,2198,0x25b7a4119e00,136,"CallBoundFunction"
code-creation,Builtin,5,2204,0x25b7a4119f00,120,"Call_ReceiverIsNullOrUndefined"
code-creation,Builtin,5,2209,0x25b7a4119fe0,120,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,2213,0x25b7a411a0c0,120,"Call_ReceiverIsAny"
tick,0x563ca3ce931b,2330,0,0x0,4
tick,0x563ca417da59,3396,0,0x0,4
code-creation,Stub,3,3412,0x25b7a411a1a0,1913,"GetPropertyStub"
code-creation,Builtin,5,3651,0x25b7a411a980,568,"CallProxy"
code-creation,Builtin,5,3657,0x25b7a411ac20,78,"CallVarargs"
code-creation,Stub,3,4103,0x25b7a411ace0,276,"StoreBufferOverflowStub"
code-creation,Stub,3,4122,0x25b7a411ae60,2012,"RecordWriteStub"
code-creation,Builtin,5,4128,0x25b7a411b6a0,1268,"CallWithSpread"
tick,0x563ca3d00710,4454,0,0x0,4
code-creation,Stub,3,4645,0x25b7a411bc00,2039,"RecordWriteStub"
code-creation,Builtin,5,4652,0x25b7a411c460,1360,"CallWithArrayLike"
code-creation,Builtin,5,4658,0x25b7a411ca20,99,"CallForwardVarargs"
code-creation,Builtin,5,4661,0x25b7a411cb00,99,"CallFunctionForwardVarargs"
code-creation,Builtin,5,4664,0x25b7a411cbe0,18,"ConstructFunction"
code-creation,Builtin,5,4668,0x25b7a411cc60,136,"ConstructBoundFunction"
code-creation,Builtin,5,4671,0x25b7a411cd60,40,"ConstructedNonConstructable"
code-creation,Builtin,5,4674,0x25b7a411ce00,77,"Construct"
code-creation,Builtin,5,4677,0x25b7a411cec0,78,"ConstructVarargs"
code-creation,Builtin,5,5153,0x25b7a411cf80,1276,"ConstructWithSpread"
